,time,area,count
494,2023-03-16 06:54:00,North Park,1
495,2023-03-16 06:54:00,University Heights,1
496,2023-03-16 06:55:00,Bankers Hill,3
497,2023-03-16 06:55:00,Barrio Logan,1
498,2023-03-16 06:55:00,Columbia,8
499,2023-03-16 06:55:00,Core,11
500,2023-03-16 06:55:00,Cortez Hill,7
501,2023-03-16 06:55:00,East Village,31
502,2023-03-16 06:55:00,Five Points,1
503,2023-03-16 06:55:00,Gaslamp,2
504,2023-03-16 06:55:00,Little Italy,9
505,2023-03-16 06:55:00,Marina,89
506,2023-03-16 06:55:00,Mission Hills,1
507,2023-03-16 06:55:00,North Park,1
508,2023-03-16 06:55:00,University Heights,1
509,2023-03-16 06:56:00,Bankers Hill,3
510,2023-03-16 06:56:00,Barrio Logan,1
511,2023-03-16 06:56:00,Columbia,14
512,2023-03-16 06:56:00,Core,12
513,2023-03-16 06:56:00,Cortez Hill,8
514,2023-03-16 06:56:00,East Village,33
515,2023-03-16 06:56:00,Five Points,1
516,2023-03-16 06:56:00,Gaslamp,3
517,2023-03-16 06:56:00,Little Italy,9
518,2023-03-16 06:56:00,Marina,89
519,2023-03-16 06:56:00,Mission Hills,1
520,2023-03-16 06:56:00,North Park,1
521,2023-03-16 06:56:00,University Heights,3
522,2023-03-16 06:57:00,Bankers Hill,3
523,2023-03-16 06:57:00,Barrio Logan,1
524,2023-03-16 06:57:00,Columbia,15
525,2023-03-16 06:57:00,Core,12
526,2023-03-16 06:57:00,Cortez Hill,8
527,2023-03-16 06:57:00,East Village,33
528,2023-03-16 06:57:00,Five Points,1
529,2023-03-16 06:57:00,Gaslamp,2
530,2023-03-16 06:57:00,Little Italy,9
531,2023-03-16 06:57:00,Marina,89
532,2023-03-16 06:57:00,Mission Hills,1
533,2023-03-16 06:57:00,North Park,1
534,2023-03-16 06:57:00,University Heights,3
535,2023-03-16 06:58:00,Bankers Hill,3
536,2023-03-16 06:58:00,Barrio Logan,1
537,2023-03-16 06:58:00,Columbia,17
538,2023-03-16 06:58:00,Core,13
539,2023-03-16 06:58:00,Cortez Hill,8
540,2023-03-16 06:58:00,East Village,37
541,2023-03-16 06:58:00,Five Points,1
542,2023-03-16 06:58:00,Gaslamp,3
543,2023-03-16 06:58:00,Little Italy,9
544,2023-03-16 06:58:00,Marina,89
545,2023-03-16 06:58:00,Mission Hills,1
546,2023-03-16 06:58:00,North Park,1
547,2023-03-16 06:58:00,University Heights,3
548,2023-03-16 06:59:00,Bankers Hill,3
549,2023-03-16 06:59:00,Barrio Logan,1
550,2023-03-16 06:59:00,Columbia,17
551,2023-03-16 06:59:00,Core,13
552,2023-03-16 06:59:00,Cortez Hill,9
553,2023-03-16 06:59:00,East Village,39
554,2023-03-16 06:59:00,Five Points,1
555,2023-03-16 06:59:00,Gaslamp,3
556,2023-03-16 06:59:00,Little Italy,9
557,2023-03-16 06:59:00,Marina,89
558,2023-03-16 06:59:00,Mission Hills,2
559,2023-03-16 06:59:00,North Park,1
560,2023-03-16 06:59:00,University Heights,3
561,2023-03-16 07:00:00,Bankers Hill,3
562,2023-03-16 07:00:00,Barrio Logan,1
563,2023-03-16 07:00:00,Columbia,19
564,2023-03-16 07:00:00,Core,13
565,2023-03-16 07:00:00,Cortez Hill,9
566,2023-03-16 07:00:00,East Village,40
567,2023-03-16 07:00:00,Five Points,1
568,2023-03-16 07:00:00,Gaslamp,3
569,2023-03-16 07:00:00,Little Italy,9
570,2023-03-16 07:00:00,Marina,89
571,2023-03-16 07:00:00,Mission Hills,2
572,2023-03-16 07:00:00,North Park,1
573,2023-03-16 07:00:00,University Heights,3
574,2023-03-16 07:01:00,Bankers Hill,4
575,2023-03-16 07:01:00,Barrio Logan,1
576,2023-03-16 07:01:00,Columbia,19
577,2023-03-16 07:01:00,Core,13
578,2023-03-16 07:01:00,Cortez Hill,9
579,2023-03-16 07:01:00,East Village,40
580,2023-03-16 07:01:00,Five Points,1
581,2023-03-16 07:01:00,Gaslamp,3
582,2023-03-16 07:01:00,Little Italy,9
583,2023-03-16 07:01:00,Marina,89
584,2023-03-16 07:01:00,Mission Hills,3
585,2023-03-16 07:01:00,North Park,1
586,2023-03-16 07:01:00,University Heights,3
587,2023-03-16 07:02:00,Bankers Hill,4
588,2023-03-16 07:02:00,Barrio Logan,1
589,2023-03-16 07:02:00,Columbia,19
590,2023-03-16 07:02:00,Core,13
591,2023-03-16 07:02:00,Cortez Hill,9
592,2023-03-16 07:02:00,East Village,42
593,2023-03-16 07:02:00,Five Points,1
594,2023-03-16 07:02:00,Gaslamp,3
595,2023-03-16 07:02:00,Little Italy,9
596,2023-03-16 07:02:00,Marina,89
597,2023-03-16 07:02:00,Mission Hills,3
598,2023-03-16 07:02:00,North Park,1
599,2023-03-16 07:02:00,University Heights,3
600,2023-03-16 07:03:00,Bankers Hill,5
601,2023-03-16 07:03:00,Barrio Logan,1
602,2023-03-16 07:03:00,Columbia,20
603,2023-03-16 07:03:00,Core,13
604,2023-03-16 07:03:00,Cortez Hill,9
605,2023-03-16 07:03:00,East Village,42
606,2023-03-16 07:03:00,Five Points,1
607,2023-03-16 07:03:00,Gaslamp,3
608,2023-03-16 07:03:00,Little Italy,10
609,2023-03-16 07:03:00,Marina,91
610,2023-03-16 07:03:00,Mission Hills,3
611,2023-03-16 07:03:00,North Park,1
612,2023-03-16 07:03:00,University Heights,3
613,2023-03-16 07:04:00,Bankers Hill,5
614,2023-03-16 07:04:00,Barrio Logan,1
615,2023-03-16 07:04:00,Columbia,21
616,2023-03-16 07:04:00,Core,13
617,2023-03-16 07:04:00,Cortez Hill,10
618,2023-03-16 07:04:00,East Village,43
619,2023-03-16 07:04:00,Five Points,1
620,2023-03-16 07:04:00,Gaslamp,4
